Date,Open,High,Low,Close,Volume
2016-02-01,574,588,572,574,12969
2016-02-02,584,595,580,584,7156
2016-02-03,580,580,572,580,4671
2016-02-04,574,589,573,574,11203
2016-02-07,589,604,585,589,12440
2016-02-08,595,594,584,595,10270
2016-02-11,590,590,580,590,4680
2016-02-14,580,579,561,580,7802
2016-02-15,570,590,555,570,10726
2016-02-16,590,600,571,590,4767
2016-02-17,576,590,560,576,14601
2016-02-18,590,596,588,590,20751
2016-02-21,588,598,585,588,21553
2016-02-22,590,595,585,590,6229
2016-02-23,590,609,585,590,16364
2016-02-24,605,603,590,605,4249
2016-02-25,595,605,581,595,5816
2016-02-28,585,595,587,585,10168
2016-02-29,590,590,586,590,4735
2016-03-01,589,590,583,589,4675
2016-03-02,585,609,580,585,3609
2016-03-03,599,620,590,599,31519
2016-03-06,617,635,610,617,22567
2016-03-10,630,693,640,630,69293
2016-03-13,693,734,700,693,133833
2016-03-14,707,715,665,707,31398
2016-03-15,672,674,655,672,14526
2016-03-16,665,679,655,665,9375
2016-03-17,674,672,665,674,14604
2016-03-20,665,671,656,665,16552
2016-03-21,660,666,648,660,24495
2016-03-23,648,664,648,648,8568
2016-03-24,653,678,651,653,11367
2016-03-27,655,673,650,655,25338
2016-03-28,673,685,658,673,16225
2016-03-29,671,673,657,671,7922
2016-03-30,669,680,661,669,8799
2016-03-31,665,663,655,665,7572
2016-04-03,658,690,652,658,15676
2016-04-04,670,680,670,670,12643
2016-04-05,680,685,670,680,22777
2016-04-06,684,689,677,684,17535
2016-04-10,680,685,670,680,35135
2016-04-11,583,584,572,583,2445
2016-04-12,576,565,560,576,1071
2016-04-14,560,591,560,560,3092
2016-04-17,591,602,582,591,7426
2016-04-18,595,612,570,595,12148
2016-04-19,612,605,590,612,2370
2016-04-20,599,607,596,599,12246
2016-04-21,605,630,595,605,26726
2016-04-24,630,649,622,630,11906
2016-04-25,640,663,641,640,11479
2016-04-26,655,651,638,655,6470
2016-04-27,638,655,632,638,10197
2016-04-28,647,651,638,647,7618
2016-05-02,638,645,627,638,18127
2016-05-03,640,644,635,640,7259
2016-05-04,640,639,629,640,5406
2016-05-05,632,632,610,632,6608
2016-05-08,632,644,617,632,5668
2016-05-09,634,663,640,634,20133
2016-05-10,649,659,637,649,3444
2016-05-11,642,655,640,642,11538
2016-05-12,655,673,655,655,26491
2016-05-15,673,667,654,673,4754
2016-05-16,666,663,653,666,4406
2016-05-17,663,680,662,663,16189
2016-05-18,680,693,680,680,7927
2016-05-19,683,694,675,683,14300
2016-05-22,684,686,670,684,2404
2016-05-23,680,690,677,680,14290
2016-05-24,685,695,685,685,7665
2016-05-25,690,692,671,690,13438
2016-05-26,682,689,657,682,5751
2016-05-29,679,679,660,679,10097
2016-05-30,679,679,665,679,6432
2016-05-31,666,667,653,666,7732
2016-06-01,659,665,648,659,10461
2016-06-02,656,682,656,656,14888
2016-06-05,668,674,650,668,8658
2016-06-06,668,670,647,668,4113
2016-06-07,670,680,661,670,9201
2016-06-08,677,689,676,677,11892
2016-06-09,677,694,677,677,7948
2016-06-12,677,689,668,677,4476
2016-06-13,675,710,680,675,40671
2016-06-14,700,725,710,700,35182
2016-06-15,721,723,712,721,11057
2016-06-16,720,722,697,720,14568
2016-06-19,713,714,693,713,18341
2016-06-20,705,710,697,705,10740
2016-06-21,700,720,700,700,9949
2016-06-22,703,728,706,703,11454
2016-06-23,720,720,696,720,6052
2016-06-26,702,712,703,702,7223
2016-06-27,710,739,713,710,22093
2016-06-28,739,735,721,739,12542
2016-06-29,735,732,724,735,10899
2016-06-30,727,729,716,727,19936
2016-07-03,722,720,713,722,11526
2016-07-04,719,730,710,719,5677
2016-07-05,730,750,713,730,20430
2016-07-06,745,775,743,745,24816
2016-07-10,761,765,740,761,4691
2016-07-11,761,789,761,761,27375
2016-07-12,777,784,720,777,8705
2016-07-13,766,768,740,766,10620
2016-07-14,760,775,755,760,11763
2016-07-17,768,844,765,768,46553
2016-07-18,844,865,814,844,28713
2016-07-19,833,899,830,833,53355
2016-07-20,888,976,900,888,73449
2016-07-21,976,1010,954,976,43680
2016-07-25,984,1065,985,984,63729
2016-07-26,1065,1113,1045,1065,37909
2016-07-27,1082,1099,1035,1082,40667
2016-07-28,1081,1069,1029,1081,33191
2016-07-31,1060,1068,1020,1060,28865
2016-08-01,1038,1050,995,1038,33867
2016-08-02,1030,1015,1000,1030,58079
2016-08-03,1000,1019,982,1000,23444
2016-08-04,1002,995,955,1002,30904
2016-08-07,970,1006,970,970,25130
2016-08-08,972,965,901,972,16460
2016-08-09,905,995,923,905,3567
2016-08-10,995,1020,936,995,53909
2016-08-11,1010,1020,992,1010,33089
2016-08-14,1020,1001,955,1020,20556
2016-08-15,968,1006,946,968,27993
2016-08-16,970,1001,970,970,30158
2016-08-17,985,1010,972,985,16569
2016-08-21,1000,1013,985,1000,8813
2016-08-22,995,1000,962,995,6697
2016-08-23,964,983,948,964,12823
