Date,Open,High,Low,Close,Volume
2016-02-01,321,327,322,321,31428
2016-02-02,325,332,321,325,32366
2016-02-03,328,335,326,328,47110
2016-02-04,330,333,326,330,27469
2016-02-07,330,342,328,330,41078
2016-02-08,331,337,329,331,44997
2016-02-11,333,366,339,333,180431
2016-02-14,340,352,339,340,31940
2016-02-15,342,347,336,342,48757
2016-02-16,345,355,339,345,129611
2016-02-17,355,376,355,355,158220
2016-02-18,370,385,355,370,126655
2016-02-21,375,387,370,375,35109
2016-02-22,372,378,367,372,51310
2016-02-23,367,374,359,367,41202
2016-02-24,365,365,356,365,9977
2016-02-25,357,367,351,357,46777
2016-02-28,361,367,360,361,39275
2016-02-29,362,363,358,362,19336
2016-03-01,361,368,358,361,50317
2016-03-02,368,375,361,368,51462
2016-03-03,375,374,368,375,17947
2016-03-06,370,374,366,370,30279
2016-03-10,371,371,365,371,39615
2016-03-13,371,381,364,371,45472
2016-03-14,371,373,364,371,86846
2016-03-15,364,377,346,364,147810
2016-03-16,377,390,378,377,81352
2016-03-17,382,410,382,382,178022
2016-03-20,400,413,388,400,138739
2016-03-21,400,414,397,400,203878
2016-03-23,400,424,392,400,183130
2016-03-24,396,395,384,396,97381
2016-03-27,385,408,382,385,168645
2016-03-28,406,422,400,406,134081
2016-03-29,402,406,396,402,96654
2016-03-30,400,408,400,400,120035
2016-03-31,401,405,398,401,146774
2016-04-03,401,400,390,401,50884
2016-04-04,398,401,399,398,61306
2016-04-05,400,405,399,400,52162
2016-04-06,402,407,400,402,81341
2016-04-10,405,406,403,405,31935
2016-04-11,405,415,405,405,76292
2016-04-12,408,427,410,408,216085
2016-04-14,422,433,422,422,77281
2016-04-17,433,445,433,433,89108
2016-04-18,435,440,430,435,80749
2016-04-19,432,435,423,432,32285
2016-04-20,425,432,425,425,45621
2016-04-21,426,430,421,426,69974
2016-04-24,425,440,427,425,62966
2016-04-25,440,448,435,440,84418
2016-04-26,437,445,430,437,47199
2016-04-27,435,440,430,435,77283
2016-04-28,435,445,434,435,80652
2016-05-02,440,452,440,440,70427
2016-05-03,450,461,447,450,95689
2016-05-04,454,456,445,454,92783
2016-05-05,449,450,440,449,35189
2016-05-08,447,457,442,447,38882
2016-05-09,457,465,456,457,75125
2016-05-10,460,464,455,460,162513
2016-05-11,460,496,469,460,333994
2016-05-12,489,504,484,489,135417
2016-05-15,484,493,481,484,67831
2016-05-16,482,488,475,482,59838
2016-05-17,477,486,474,477,70793
2016-05-18,476,480,475,476,51834
2016-05-19,477,489,474,477,78972
2016-05-22,482,489,478,482,87849
2016-05-23,481,485,475,481,96282
2016-05-24,485,498,485,485,77907
2016-05-25,489,498,471,489,140809
2016-05-26,483,492,467,483,90173
2016-05-29,483,492,473,483,70573
2016-05-30,480,481,476,480,55453
2016-05-31,476,492,480,476,66954
2016-06-01,482,490,475,482,53641
2016-06-02,481,479,472,481,40217
2016-06-05,473,475,455,473,73667
2016-06-06,455,477,460,455,46910
2016-06-07,466,484,469,466,33267
2016-06-08,473,474,466,473,40672
2016-06-09,473,470,461,473,47011
2016-06-12,465,480,465,465,73622
2016-06-13,475,485,474,475,121684
2016-06-14,479,481,470,479,22932
2016-06-15,471,476,460,471,38566
2016-06-16,465,468,457,465,66682
2016-06-19,460,467,451,460,18601
2016-06-20,457,463,453,457,32050
2016-06-21,462,460,453,462,17031
2016-06-22,459,470,456,459,38998
2016-06-23,460,463,455,460,25727
2016-06-26,457,488,455,457,56205
2016-06-27,473,492,475,473,92235
2016-06-28,490,499,480,490,51393
2016-06-29,483,489,476,483,125979
2016-06-30,488,484,475,488,27366
2016-07-03,480,485,471,480,45368
2016-07-04,473,480,470,473,63041
2016-07-05,470,477,470,470,29310
2016-07-06,472,475,465,472,69355
2016-07-10,470,485,467,470,45385
2016-07-11,472,480,465,472,44940
2016-07-12,470,472,451,470,24558
2016-07-13,465,465,454,465,27795
2016-07-14,460,473,460,460,61316
2016-07-17,470,490,470,470,109228
2016-07-18,480,498,483,480,179182
2016-07-19,498,532,489,498,209898
2016-07-20,527,565,510,527,166068
2016-07-21,510,540,514,510,135856
2016-07-25,519,540,520,519,107723
2016-07-26,540,566,544,540,180798
2016-07-27,559,595,569,559,190700
2016-07-28,579,625,571,579,388311
2016-07-31,617,640,615,617,238835
2016-08-01,620,632,596,620,153624
2016-08-02,605,607,588,605,138325
2016-08-03,588,590,565,588,119486
2016-08-04,573,584,547,573,166216
2016-08-07,560,586,550,560,188585
2016-08-08,559,550,510,559,104640
2016-08-09,510,561,520,510,75016
2016-08-10,561,590,536,561,155781
2016-08-11,560,582,558,560,242286
2016-08-14,562,560,540,562,74435
2016-08-15,549,547,522,549,86215
2016-08-16,531,546,523,531,57953
2016-08-17,536,549,536,536,51469
2016-08-21,539,550,532,539,31865
2016-08-22,535,535,500,535,92657
2016-08-23,517,532,507,517,46846
2016-08-24,514,530,514,514,19606
2016-08-28,522,528,512,522,30859
2016-08-29,524,541,522,524,63710
2016-08-30,538,545,533,538,39721
2016-08-31,538,540,526,538,34849
2016-09-01,529,540,526,529,34464
2016-09-04,529,528,520,529,38316
2016-09-05,524,545,520,524,99834
2016-09-06,533,545,527,533,38141
2016-09-07,532,542,523,532,30728
2016-09-08,523,532,522,523,36663
2016-09-11,526,556,531,526,52774
2016-09-12,535,533,527,535,30141
2016-09-14,530,533,525,530,21987
2016-09-18,525,530,520,525,30131
2016-09-20,523,525,513,523,63695
2016-09-21,515,525,515,515,43971
2016-09-22,520,520,510,520,34490
2016-09-25,511,505,489,511,42886
2016-09-26,489,505,495,489,23648
2016-09-27,503,528,502,503,20876
2016-09-28,507,510,505,507,21890
2016-09-29,510,510,501,510,22289
2016-10-02,505,512,495,505,19339
2016-10-03,506,509,505,506,26283
2016-10-04,505,521,503,505,19060
2016-10-05,521,521,516,521,8971
2016-10-06,520,530,521,520,39553
2016-10-16,524,524,514,524,14650
2016-10-17,523,533,518,523,42479
2016-10-18,530,536,522,530,37814
2016-10-19,530,533,525,530,22444
2016-10-20,529,531,524,529,27221
2016-10-23,525,530,513,525,20059
2016-10-24,514,520,507,514,11339
2016-10-25,512,520,506,512,21030
2016-10-26,510,511,500,510,40534
