Date,Open,High,Low,Close,Volume
2016-02-01,321,327,322,321,31428
2016-02-02,325,332,321,325,32366
2016-02-03,328,335,326,328,47110
2016-02-04,330,333,326,330,27469
2016-02-07,330,342,328,330,41078
2016-02-08,331,337,329,331,44997
2016-02-11,333,366,339,333,180431
2016-02-14,340,352,339,340,31940
2016-02-15,342,347,336,342,48757
2016-02-16,345,355,339,345,129611
2016-02-17,355,376,355,355,158220
2016-02-18,370,385,355,370,126655
2016-02-21,375,387,370,375,35109
2016-02-22,372,378,367,372,51310
2016-02-23,367,374,359,367,41202
2016-02-24,365,365,356,365,9977
2016-02-25,357,367,351,357,46777
2016-02-28,361,367,360,361,39275
2016-02-29,362,363,358,362,19336
2016-03-01,361,368,358,361,50317
2016-03-02,368,375,361,368,51462
2016-03-03,375,374,368,375,17947
2016-03-06,370,374,366,370,30279
2016-03-10,371,371,365,371,39615
2016-03-13,371,381,364,371,45472
2016-03-14,371,373,364,371,86846
2016-03-15,364,377,346,364,147810
2016-03-16,377,390,378,377,81352
2016-03-17,382,410,382,382,178022
2016-03-20,400,413,388,400,138739
2016-03-21,400,414,397,400,203878
2016-03-23,400,424,392,400,183130
2016-03-24,396,395,384,396,97381
