Date,Open,High,Low,Close,Volume
2016-02-01,675,680,677,675,2850
2016-02-02,680,685,680,680,5310
2016-02-03,684,687,680,684,1700
2016-02-04,685,691,685,685,5690
2016-02-07,691,695,689,691,6340
2016-02-08,695,700,690,695,19035
2016-02-11,695,700,690,695,4290
2016-02-14,699,705,699,699,5700
2016-02-15,703,703,692,703,5770
2016-02-16,700,700,694,700,5505
2016-02-17,696,705,695,696,9355
2016-02-18,705,709,700,705,12960
2016-02-21,700,705,700,700,15340
2016-02-22,700,702,701,700,860
2016-02-23,701,705,700,701,18540
2016-02-24,700,702,699,700,15315
2016-02-25,702,705,694,702,1305
2016-02-28,705,705,701,705,7520
2016-02-29,704,703,700,704,10375
2016-03-01,701,705,687,701,4095
2016-03-02,702,705,701,702,5764
2016-03-03,705,705,701,705,1360
2016-03-06,705,703,700,705,7990
2016-03-10,702,705,700,702,1690
2016-03-13,700,702,700,700,4010
2016-03-14,700,701,698,700,4355
2016-03-15,701,702,696,701,8360
2016-03-16,700,702,700,700,3920
2016-03-17,700,702,700,700,33535
2016-03-20,702,705,703,702,610
2016-03-21,703,703,695,703,1650
2016-03-23,695,700,693,695,2585
2016-03-24,695,715,700,695,5795
2016-03-27,715,720,705,715,1645
2016-03-28,710,702,700,710,1790
2016-03-29,700,701,690,700,4700
2016-03-30,700,700,697,700,2350
2016-03-31,700,700,692,700,3165
2016-04-03,696,691,691,696,100
2016-04-04,691,701,692,691,3575
2016-04-05,701,710,700,701,14095
2016-04-06,710,710,701,710,14710
2016-04-10,709,711,705,709,6775
2016-04-11,710,719,710,710,7600
2016-04-12,712,716,710,712,10280
2016-04-14,715,723,714,715,55060
2016-04-17,715,701,665,715,1870
2016-04-18,666,665,652,666,2100
2016-04-19,655,670,660,655,1340
2016-04-20,660,668,655,660,2300
2016-04-21,666,663,650,666,1805
2016-04-24,655,660,660,655,860
2016-04-25,660,660,650,660,3170
2016-04-26,659,665,654,659,4900
2016-04-27,654,660,653,654,6310
2016-04-28,654,655,652,654,500
2016-05-03,654,655,650,654,1980
2016-05-04,653,659,650,653,990
2016-05-05,651,660,651,651,3195
2016-05-08,651,660,645,651,2510
2016-05-09,655,665,655,655,6610
2016-05-10,665,665,650,665,11425
2016-05-11,665,666,653,665,600
2016-05-12,653,660,655,653,4445
2016-05-15,656,670,660,656,2810
2016-05-16,670,657,655,670,2120
2016-05-17,657,670,658,657,3536
2016-05-18,661,670,660,661,6370
2016-05-19,660,665,660,660,1850
2016-05-22,660,665,652,660,7200
2016-05-23,660,664,655,660,1420
2016-05-24,658,660,654,658,4570
